Nama Restaurant,Rating,Price,Daerah,Tipe_1,Tipe_2,Tipe_3,Label
Cold Stone Creamery,3.9,55000,"Senayan City, Senayan, Jakarta",Ice Cream,Desserts,-,1
Soto Bangkong,3.9,55000,"Senayan, Jakarta",Soto,Jawa,-,1
The Coffee Bean & Tea Leaf,3.2,55000,"Senayan City, Senayan, Jakarta",Kopi,Tea,Desserts,1
Loka Padang,3.8,55000,"Sudirman Park Apartemen, Tanah Abang, Jakarta",Padang,-,-,1
Funantique Kopi,3.4,55000,"Bendungan Hilir, Jakarta",Kopi,Indonesia,Tea,1
Bakmi Kusuma,3.9,55000,"Gandaria, Jakarta",Bakmi,-,-,1
Gokana Ramen & Teppan,3.4,55000,"Bintaro Plaza, Bintaro, Jakarta",Jepang,Asia,-,1
Martabak San Fransisco,3.8,55000,"Tebet, Jakarta",Martabak,-,-,1
Java Soul Coffee,3.9,55000,"Kemang, Jakarta",Kopi,Desserts,Finger Food,1
TuBo,4,55000,"Lebak Bulus, Jakarta",Indonesia,Jepang,-,1
Kobeshi Kitchen,4.2,60000,"Senayan City, Senayan, Jakarta",Jepang,-,-,1
Ramen Ya!,3.7,60000,"Senayan City, Senayan, Jakarta",Ramen,Jepang,-,1
Starbucks Reserve,3.9,60000,"Senayan, Jakarta",Kopi,Tea,Desserts,1
J.CO Donuts & Coffee,3.9,60000,"Senayan City, Senayan, Jakarta",Desserts,Kopi,-,1
Wendy's,2.7,60000,"Senayan City, Senayan, Jakarta",Makanan Cepat Saji,Amerika,-,1
Salty Sam,3.8,60000,"fX Sudirman, Sudirman, Jakarta",Singapura,-,-,1
Tiga Wonton,5,60000,"fX Sudirman, Sudirman, Jakarta",Chinese,-,-,1
Koi Teppanyaki,3.3,60000,"Senayan City, Senayan, Jakarta",Jepang,-,-,1
Chopstix,3.2,60000,"Plaza Senayan, Senayan, Jakarta",Peranakan,Chinese,-,1
Fish Bite!,2.8,60000,"Palmerah, Jakarta",Seafood,Barat,-,1
Soto Ayam Ambengan Cak Di,4.5,60000,"SCBD, Jakarta",Soto,-,-,1
Scandinavian Coffee Shop,3.5,60000,"Sudirman, Jakarta",Kafe,Kopi,Tea,1
Marugame Udon,3.4,60000,"fX Sudirman, Sudirman, Jakarta",Jepang,-,-,1
Godiva,4,60000,"Plaza Senayan, Senayan, Jakarta",Desserts,-,-,1
Wingstop,4,60000,"Plaza Senayan, Senayan, Jakarta",Amerika,Makanan Cepat Saji,-,1
MING FA,3.9,60000,"Senayan, Jakarta",Singapura,-,-,1
Cak Tu Ci Express,5,60000,"Senayan, Jakarta",Indonesia,-,-,1
Geprek Bensu,2.6,60000,"Bendungan Hilir, Jakarta",Indonesia,-,-,1
Soto Mie & Bakso Sarodja,3.7,60000,"Bendungan Hilir, Jakarta",Jawa,-,-,1
Ayam Goreng Karawaci,3.7,60000,"Plaza Semanggi, Sudirman, Jakarta",Jawa,-,-,1
Kozi Coffee,4,60000,"Cilandak, Jakarta",Kopi,Indonesia,-,1
Warung Bakmi Mpek Tjoen,4,60000,"Gandaria, Jakarta",Asia,-,-,1
Ladang Coffee,3.9,60000,"Jagakarsa, Jakarta",Kafe,-,-,1
Ground 57 Coffee,3.6,60000,"Blok M, Jakarta",Kopi,Asia,-,1
Resto Tigapuluh,3.6,60000,"Tebet, Jakarta",Indonesia,-,-,1
Flip Burger,4,60000,"Pondok Indah Plaza 6, Pondok Indah, Jakarta",Burger,-,-,1
AL Coffee,3.2,60000,"Kemang, Jakarta",Kopi,Barat,Desserts,1
Baso Malang Karapitan,2.9,60000,"Plaza Festival, Kuningan, Jakarta",Bakso,Jawa,-,1
Bengawan's,3.7,60000,"Kebayoran Lama, Jakarta",Chinese,Indonesia,-,1
Eatlah,4.3,60000,"Blok M, Jakarta",Asia,-,-,1
Jambo Kupi,4.3,60000,"Pasar Minggu, Jakarta",Aceh,-,-,1
Emado's Shawarma,3.9,60000,"Kemang, Jakarta",Timur Tengah,-,-,1
Brouwen Coffee & Kitchen,3.6,60000,"Senopati, Jakarta",Kafe,Kopi,Asia,1
Kozy Hub,3.2,60000,"Kebayoran Lama, Jakarta",Kafe,Kopi,Finger Food,1
Bakmitopia,3.4,60000,"Senopati, Jakarta",Bakmi,-,-,1
Ruang Seduh,4.1,60000,"Kemang, Jakarta",Kopi,-,-,1
Starbucks Coffee,3.9,60000,"Lotte Shopping Avenue, Karet, Jakarta",Kopi,Tea,Desserts,1
